Date,Confirmed,Province/State,Death,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-14,1,Saint Lucia,0,0,1.0,0.0,0.0,1.0,0.0,,,,0,0,0,1.0
2020-03-15,2,Saint Lucia,0,0,2.0,0.0,0.0,2.0,0.0,,,1.0,0,0,0,2.0
2020-03-16,2,Saint Lucia,0,0,2.0,0.0,0.0,2.0,0.0,,,0.0,0,0,0,2.0
2020-03-17,2,Saint Lucia,0,0,2.0,0.0,0.0,2.0,0.0,,,0.0,0,0,0,2.0
2020-03-18,2,Saint Lucia,0,0,2.0,0.0,0.0,2.0,0.0,,,0.0,0,0,0,2.0
2020-03-19,2,Saint Lucia,0,0,2.0,0.0,0.0,2.0,0.0,,,0.0,0,0,0,2.0
2020-03-20,2,Saint Lucia,0,0,2.0,0.0,0.0,2.0,0.0,,,0.0,0,0,0,2.0
2020-03-21,2,Saint Lucia,0,0,2.0,0.0,0.0,2.0,0.0,,,0.0,0,0,0,2.0
2020-03-22,2,Saint Lucia,0,0,2.0,0.0,0.0,2.0,0.0,,,0.0,0,0,0,2.0
2020-03-23,3,Saint Lucia,0,0,3.0,0.0,0.0,3.0,0.0,,,0.5,0,0,0,3.0
2020-03-24,3,Saint Lucia,0,0,3.0,0.0,0.0,3.0,0.0,,,0.0,0,0,0,3.0
2020-03-25,3,Saint Lucia,0,0,3.0,0.0,0.0,3.0,0.0,,,0.0,0,0,0,3.0
